Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22823333,"The Eleventh Metal (Mistborn, #0.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,3.84,Crafty Games,ebook,21,2012,2012,,2014/12/27,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765391198""","=""9780765391193""",0,4.34,Tor Books,Hardcover,464,2022,2022,,2014/12/27,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",4,4.55,DAW Books,Hardcover,994,2011,2011,2014/12/26,2013/12/11,,,read,,,,1,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",4,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2014/12/11,2013/12/11,,,read,,,,1,,,0,,,,,
18243345,"Nightblood (Warbreaker, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,4.25,Gollancz,Hardcover,,,,,2014/12/01,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
17182126,"Steelheart (The Reckoners, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743564""","=""9780385743563""",5,4.14,Delacorte Press,Hardcover,386,2013,2013,,2014/12/01,,,read,,,,1,,,0,,,,,
1268479,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.28,Self-published,ebook,688,2009,2009,,2014/12/01,,,read,,,,1,,,0,,,,,
21032488,"The Doors of Stone (The Kingkiller Chronicle, #3)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0575081449""","=""9780575081444""",0,3.63,Gollancz,Hardcover,896,,,,2014/12/01,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
23597688,"Murder at the Kinnen Hotel (Powder Mage, #0.3)",Brian  McClellan,"McClellan, Brian",,"=""""","=""""",0,4.16,,Kindle Edition,74,2014,2014,,2014/12/01,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
20614529,"Forsworn (Powder Mage, #0.1)",Brian  McClellan,"McClellan, Brian",,"=""""","=""""",4,4.03,Brian McClellan,Kindle Edition,64,2014,2014,,2014/10/29,,,read,,,,1,,,0,,,,,
6255949,All You Need Is Kill,Hiroshi Sakurazaka,"Sakurazaka, Hiroshi",Alexander O. Smith,"=""1421527618""","=""9781421527611""",4,4.03,Haikasoru,Paperback,201,2009,2004,2014/10/30,2014/09/21,,,read,,,,1,,,0,,,,,
17910124,"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",Brian Staveley,"Staveley, Brian",,"=""0765336405""","=""9780765336408""",0,4.08,Tor Books,Hardcover,480,2014,2014,,2014/10/29,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
15790883,"Promise of Blood (Powder Mage, #1)",Brian  McClellan,"McClellan, Brian",,"=""0316219037""","=""9780316219037""",4,4.12,Orbit,Hardcover,545,2013,2013,2014/10/24,2013/12/16,,,read,,,,1,,,0,,,,,
11737387,"Fated (Alex Verus, #1)",Benedict Jacka,"Jacka, Benedict",,"=""1937007294""","=""9781937007294""",0,3.89,Ace,Mass Market Paperback,295,2012,2012,,2014/10/03,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
15763857,"The Ace of Skulls (Tales of the Ketty Jay, #4)",Chris Wooding,"Wooding, Chris",,"=""0575098112""","=""9780575098114""",5,4.42,Gollancz ,Paperback,492,2013,2013,2014/09/28,2014/09/04,,,read,,,,1,,,0,,,,,
20949240,Wild cards 3: Jokers salvajes,George R.R. Martin,"Martin, George R.R.",,"=""6077350761""","=""9786077350767""",0,3.91,Oceano,Paperback,464,2014,1987,,2014/09/04,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
9931820,"The Iron Jackal (Tales of the Ketty Jay, #3)",Chris Wooding,"Wooding, Chris",,"=""0575098066""","=""9780575098060""",4,4.30,Gollancz,Hardcover,480,2011,2011,2014/09/09,2014/09/01,,,read,,,,1,,,0,,,,,
11125,Digital Fortress,Dan Brown,"Brown, Dan",,"=""""","=""""",3,3.68,Corgi books,Paperback,510,2004,1998,,2014/09/04,,,read,,,,1,,,0,,,,,
976,Deception Point,Dan Brown,"Brown, Dan",,"=""0671027387""","=""9780671027384""",3,3.73,Pocket Books,Mass Market Paperback,556,2002,2001,,2014/09/04,,,read,,,,1,,,0,,,,,
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,"=""0385537859""","=""9780385537858""",4,3.87,Doubleday,Hardcover,463,2013,2013,,2014/09/04,,,read,,,,1,,,0,,,,,
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,"Brown, Dan",,"=""0385504225""","=""9780385504225""",3,3.73,Doubleday,Hardcover,509,2009,2009,,2014/09/04,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""""","=""""",4,3.88,Anchor,Paperback,489,2006,2003,,2012/12/01,,,read,,,,1,,,0,,,,,
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",3,3.92,Pocket Books,Mass Market Paperback,736,2006,2000,,2014/09/04,,,read,,,,1,,,0,,,,,
185748,"Kiss Me, Judas",Will Christopher Baer,"Baer, Will Christopher",,"=""1596921862""","=""9781596921863""",0,3.79,MacAdam/Cage Publishing,Paperback,316,2006,1998,,2014/09/04,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
11607,The Running Man,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451197968""","=""9780451197962""",3,3.89,Signet,Paperback,317,1999,1982,,2014/09/04,,,read,,,,1,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",3,4.00,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,,2014/09/04,,,read,,,,1,,,0,,,,,
17619479,Terms of Enlistment,Marko Kloos,"Kloos, Marko",,"=""""","=""""",4,4.03,Frostbite Publishing,Kindle Edition,282,2013,2013,,2014/09/04,,,read,,,,1,,,0,,,,,
22283,Survivor,Chuck Palahniuk,"Palahniuk, Chuck",,"=""009928264X""","=""9780099282648""",3,3.92,Vintage,Paperback,289,2000,1999,,2013/01/08,,,read,,,,1,,,0,,,,,
